Mode,"Community Hub appropriate (1=yes, 0=no)",SNOMED description,SNOMED code
CAT,1,Computerized axial tomography of cervical spine with contrast ,762008
CAT,1,"Computerized tomography, bone density study ",22059005
CAT,1,Computerized tomography of abdomen with contrast ,32962002
CAT,1,Computerized axial tomography of kidney ,55501000
CAT,1,Computerized axial tomography of pelvis with contrast ,74710000
CAT,1,Computed tomography of thorax with contrast ,75385009
CAT,1,Computed tomography of face ,169067003
CAT,1,Computed tomography of neck ,169068008
CAT,1,Computed tomography of chest ,169069000
CAT,1,Computed tomography of abdomen ,169070004
CAT,1,Computed tomography of pelvis ,169071000
CAT,1,Computed tomography of pituitary fossa ,241519005
CAT,1,Computed tomography of orbits ,241520004
CAT,1,Computed tomography of internal auditory meatus ,241521000
CAT,1,Computed tomography of petrous bones ,241522007
CAT,1,Computed tomography of paranasal sinuses ,241526005
CAT,1,Computed tomography of temporomandibular joints ,241528006
CAT,1,Computed tomography parotid gland ,241530008
CAT,1,Computed tomography of thoracic aorta ,241548004
CAT,1,Computed tomography of liver ,241549007
CAT,1,Computed tomography of adrenals ,241550007
CAT,1,Computed tomography of pancreas ,241551006
CAT,1,Computed tomography of abdominal aorta ,241553009
CAT,1,Computed tomography of upper arm ,241565008
CAT,1,Computed tomography of elbow ,241566009
CAT,1,Computed tomography of forearm ,241567000
CAT,1,Computed tomography of wrist ,241568005
CAT,1,Computed tomography of hand ,241569002
CAT,1,Computed tomography of hip ,241571002
CAT,1,Computed tomography of thigh ,241572009
CAT,1,Computed tomography of knee ,241573004
CAT,1,Computed tomography of lower leg ,241574005
CAT,1,Computed tomography of ankle ,241575006
CAT,1,Computed tomography of foot ,241576007
CAT,1,Computed tomography of cervical spine ,241578008
CAT,1,Computed tomography of thoracic spine ,241579000
CAT,1,Computed tomography of lumbar spine ,241580002
CAT,1,Computed tomography of sacral spine ,241581003
CAT,1,Computed tomography arthrogram of shoulder ,241583000
CAT,1,Computed tomography arthrogram of hip ,241586008
CAT,1,Computed tomography arthrogram of knee ,241587004
CAT,0,Computed tomography myelogram of cervical region ,241590005
CAT,0,Computed tomography myelogram of thoracic region ,241591009
CAT,0,Computed tomography myelogram of lumbar region ,241592002
CAT,1,Digital slit-beam radiograph of leg length ,241599006
CAT,0,Computed tomography guided biopsy ,277591006
CAT,1,Computed tomography of aorta ,305053005
CAT,1,Computerized axial tomography of brain with radiopaque contrast ,396207002
CAT,1,Computed tomography of entire head ,408754009
CAT,1,"Computerized axial tomography of elbow, left ",413901008
CAT,1,"Computerized axial tomography of elbow, right ",413902001
CAT,1,"Computed tomography of chest, abdomen and pelvis ",418023006
CAT,0,Computed tomography and drainage of abdomen ,418199004
CAT,1,Computed tomography angiography ,418272005
CAT,1,"Computerized tomography of neck, thorax, abdomen and pelvis ",418332004
CAT,1,Virtual computed tomography colonoscopy ,418714002
CAT,1,Computed tomography of chest and abdomen ,418891003
CAT,0,Computed tomography and drainage of pelvis ,419075009
CAT,1,Computed tomography of urinary tract ,419084009
CAT,1,Computed tomography angiography of lower limb artery ,419089004
CAT,1,Computed tomography angiography of pulmonary artery ,419225001
CAT,1,Computed tomography angiography of upper limb artery ,419277007
CAT,0,Computed tomography and biopsy of pelvis ,419341002
CAT,1,Computed tomography of mastoid ,419381009
CAT,1,Computed tomography of abdomen and pelvis ,419394006
CAT,1,Computed tomography angiography of coronary arteries ,419545005
CAT,1,Computed tomography angiography of renal artery ,419559003
CAT,1,Computed tomography of facial bones ,419673001
CAT,0,Computed tomography and biopsy of abdomen ,419940006
CAT,1,Computed tomography angiography of intracranial artery ,419949007
CAT,1,Computed tomography of sternoclavicular joint ,419976007
CAT,1,Computed tomography of mandible ,419978008
CAT,0,Computed tomography cholangiogram ,419995000
CAT,1,Computed tomography angiography of aortic arch and carotid arteries ,420017001
CAT,0,Computed tomography and biopsy of neck ,420036006
CAT,1,Computed tomography of calcaneum ,420145009
CAT,1,Computed tomography of colon ,425666002
CAT,0,Cardiac computed tomography for calcium scoring ,426005005
CAT,1,Computerized tomography of right ankle ,426707009
CAT,1,Computerized tomography of left ankle ,426817008
CAT,1,Computed tomography of thorax for radiotherapy planning ,429851006
CAT,1,Computed tomography of orbit with contrast ,429852004
CAT,1,Computed tomography of toe ,429853009
CAT,1,Computed tomography of internal auditory meatus with contrast ,429857005
CAT,1,Computed tomography of head and neck ,429858000
CAT,0,Injection of lumbar zygapophyseal joint using computed tomography guidance ,429860003
CAT,0,Radiofrequency ablation of lesion of kidney using computed tomography guidance ,429861004
CAT,1,Computed tomography of liver with contrast ,429862006
CAT,1,Computed tomography of parotid gland with contrast ,429863001
CAT,1,Computed tomography of thorax and abdomen with contrast ,429864007
CAT,0,Injection of lumbar spinal nerve root using computed tomography guidance ,429868005
CAT,1,Computed tomography of temporal bone ,429869002
CAT,1,Computed tomography of pancreas with contrast ,429873004
CAT,1,Computed tomography of sternum ,429874005
CAT,1,Computed tomography of whole spine ,429875006
CAT,0,Injection of hip joint using computed tomography guidance ,429876007
CAT,1,Computed tomography of finger ,429924009
CAT,1,Computed tomography of forefoot ,429925005
CAT,1,Computed tomography of neck and thorax with contrast ,429927002
CAT,0,Injection of sacral spinal nerve root using computed tomography guidance ,429930009
CAT,1,Computed tomography of kidney with contrast ,429931008
CAT,0,Biopsy of lung using computed tomography guidance ,429932001
CAT,0,Computed tomography of pelvis for radiotherapy planning ,430194000
CAT,0,Ablation using computed tomography guidance ,430269006
CAT,1,Computed tomography of adrenal gland with contrast ,430430003
CAT,1,Computed tomography of thumb ,430431004
CAT,1,Computed tomography of lower leg with contrast ,430436009
CAT,1,Computed tomography of pituitary fossa with contrast ,430437000
CAT,1,"Computed tomography of neck, thorax and abdomen ",430439002
CAT,0,Injection of cervical spinal nerve root using computed tomography guidance ,430445005
CAT,0,Computed tomography for radiotherapy planning ,430447002
CAT,1,Computed tomography of neck and thorax ,430448007
CAT,1,Computed tomography of coccyx ,430451000
CAT,1,Computed tomography enteroclysis ,431214001
CAT,1,Computed tomography of neck with contrast ,431326009
CAT,1,Computed tomography of paranasal sinuses with contrast ,431492000
CAT,0,Vertebroplasty of lumbar spine using computed tomography guidance ,431496002
CAT,1,Computed tomography venography ,431676002
CAT,1,Computed tomography of face with contrast ,431714002
CAT,0,Aspiration using computed tomography guidance ,431749009
CAT,0,Insertion of drain using computed tomography guidance ,431842009
CAT,0,Injection using computed tomography guidance ,431864000
CAT,1,Computed tomography of larynx with contrast ,431997003
CAT,0,Vertebroplasty of sacral spine using computed tomography guidance ,432037000
CAT,1,Computed tomography of abdomen and pelvis with contrast ,432370003
CAT,0,Biopsy of bone using computed tomography guidance ,432371004
CAT,0,Epidural injection using computed tomography guidance ,432406007
CAT,1,Computed tomography of clavicle ,432552002
CAT,1,Computed tomography of scapula ,432665004
CAT,1,Computed tomography sinogram ,432771002
CAT,1,Computed tomography of base of skull ,432814005
CAT,1,Computed tomography venography of cerebral vein ,432841000
CAT,1,Computed tomography venography of intracranial vein ,432842007
CAT,0,Injection of cervical zygapophyseal joint using computed tomography guidance ,432901008
CAT,1,Computed tomography of head for cranioplasty planning ,432904000
CAT,1,Computed tomography of liver and portal vein ,432905004
CAT,0,Vertebroplasty of thoracic spine using computed tomography guidance ,433034001
CAT,1,Computed tomography of brain perfusion ,433111008
CAT,1,"Computed tomography of neck, thorax and abdomen with contrast ",433270008
CAT,1,"Computed tomography of thorax, abdomen and pelvis with contrast ",433761009
CAT,1,"Computed tomography of neck, thorax, abdomen and pelvis with contrast ",434438003
CAT,1,Computed tomography dual phase study of liver ,438305004
CAT,1,Computed tomography triple phase study of liver ,438591004
CAT,0,Biopsy of kidney using computed tomography guidance ,438820000
CAT,0,Percutaneous aspiration of abdomen using computed tomography guidance ,439087006
CAT,1,Computed tomography of esophagus with contrast ,440330000
CAT,1,"Computed tomography of head, neck, thorax, abdomen and pelvis ",440331001
CAT,0,Biopsy of thorax using computed tomography guidance ,440491000
CAT,1,Computed tomography of urinary tract with contrast ,440494008
CAT,1,Computed tomography angiography of subclavian artery ,440513001
CAT,1,Computed tomography dual phase study of pancreas ,440514007
CAT,1,Computed tomography of small intestine ,441538004
CAT,1,Computed tomography angiography of vascular structure of spine ,443426000
CAT,0,Radionuclide imaging with computed tomography attenuation correction ,443579008
CAT,1,Computed tomography with contrast for measurement of brain volume ,444037004
CAT,1,"Computed tomography of head, abdomen and pelvis with contrast ",444628000
CAT,1,"Computed tomography of head, neck, thorax, abdomen and pelvis with contrast ",444630003
CAT,1,"Computed tomography of head, thorax, abdomen and pelvis with contrast ",444674001
CAT,1,Computed tomography of maxilla ,444795004
CAT,1,Computed tomography of abdominal aorta with contrast ,444968003
CAT,1,Computed tomography of entire aorta with contrast ,444969006
CAT,1,Computed tomography of thoracic aorta with contrast ,444970007
CAT,1,Computed tomography triple phase study of kidney ,446224008
CAT,1,Computed tomography of inguinal region ,446564006
CAT,1,Gated computed tomography of heart with contrast ,448431001
CAT,1,Computed tomography angiography of abdominal artery ,448443000
CAT,1,Computed tomography of mandible and maxilla ,448770008
CAT,1,Computed tomography angiography of mesenteric artery ,709553001
CAT,1,Computed tomography of lower limb for bone length measurement ,712810001
CAT,1,Computed tomography of urinary tract excretory phase with contrast ,713859006
CAT,1,Computed tomography angiography for transcatheter aortic valve implantation planning ,726631002
CAT,1,"Computed tomography of thorax, abdomen and pelvis with oral and intravenous contrast ",764731006
CAT,1,Computed tomography of left hip ,1331000087102
CAT,1,Computed tomography of right hip ,1351000087106
CAT,1,Computed tomography of left knee ,1411000087101
CAT,1,Computed tomography of right knee ,1421000087109
CAT,1,Computed tomography of left shoulder ,1491000087107
CAT,1,Computed tomography of right shoulder ,1511000087102
CAT,1,Computed tomography of left wrist ,2021000087105
CAT,1,Computed tomography of right wrist ,2031000087107
CAT,1,Computed tomography of left calcaneum ,4161000087105
CAT,1,Computed tomography of right calcaneum ,4171000087101
CAT,1,Computed tomography of left clavicle ,4191000087102
CAT,1,Computed tomography of right clavicle ,4201000087100
CAT,1,Computed tomography of left forearm ,4291000087109
CAT,1,Computed tomography of right forearm ,4311000087105
CAT,1,Computed tomography of left hand ,4331000087100
CAT,1,Computed tomography of right hand ,4341000087106
CAT,1,Computed tomography of right scapula ,20021000087104
CAT,1,Computed tomography of left scapula ,20111000087108
CAT,1,Computerised tomography of chest with high resolution ,315941000000105
CAT,1,Computed tomography angiography of renal artery and abdominal artery ,339901000000104
CAT,1,Computed tomography of whole aorta ,356221000000109
CAT,0,Percutaneous microwave ablation of lesion of lung using computed tomography guidance ,819801000000103
CAT,1,Computed tomography arthrography of elbow with contrast ,839871000000101
CAT,1,Computed tomography arthrography of subtalar joint with contrast ,839941000000103
CAT,1,Electrocardiography gated computed tomography of thorax ,858161000000109
CAT,1,Computed tomography four phase scan of liver with contrast ,1110571000000100
CAT,1,Four dimensional computed tomography of parathyroid with contrast ,1110821000000100
CAT,0,Biopsy of left kidney using computed tomography guidance ,
CAT,0,Biopsy of right kidney using computed tomography guidance ,
CAT,0,Computed tomography and biopsy of liver ,
CAT,1,Computed tomography angiography of coronary artery bypass graft ,
CAT,1,Computed tomography angiography of pulmonary and abdominal and pelvic arteries ,
CAT,1,Computed tomography arthrography of ankle with contrast ,
CAT,1,Computed tomography arthrography of knee with contrast ,
CAT,1,Computed tomography arthrography of wrist with contrast ,
CAT,0,Computed tomography cisternography ,
CAT,0,Computed tomography cystography ,
CAT,0,Computed tomography dacryocystography of lacrimal canaliculus ,
CAT,1,Computed tomography for endovascular aneurysm repair planning ,
CAT,1,Computed tomography for measurement of brain volume ,
CAT,1,Computed tomography of abdomen and pelvis with oral and intravenous contrast ,
CAT,1,Computed tomography of abdomen and pelvis with oral contrast ,
CAT,0,Computed tomography of abdomen for radiotherapy planning ,
CAT,1,Computed tomography of base of skull with contrast ,
CAT,1,Computed tomography of bilateral ankles ,
CAT,1,Computed tomography of bilateral scapulae ,
CAT,0,Computed tomography of breast for radiotherapy planning ,
CAT,1,Computed tomography of colon using intravenous contrast ,
CAT,1,Computed tomography of facial bones with contrast ,
CAT,1,Computed tomography of floor of mouth ,
CAT,1,Computed tomography of floor of mouth with contrast ,
CAT,1,Computed tomography of head and neck and thorax and abdomen with contrast ,
CAT,0,Computed tomography of head and neck for radiotherapy planning ,
CAT,1,Computed tomography of head and neck with contrast ,
CAT,1,Computed tomography of head and orbits ,
CAT,0,Computed tomography of head for radiotherapy planning ,
CAT,1,"Computed tomography of head, thorax and abdomen with contrast ",
CAT,1,"Computed tomography of head, thorax, abdomen and pelvis ",
CAT,0,Computed tomography of heart ,
CAT,0,Computed tomography of heart with contrast ,
CAT,1,Computed tomography of internal auditory meatus with air contrast ,
CAT,1,Computed tomography of larynx ,
CAT,1,Computed tomography of left shoulder with contrast ,
CAT,0,Computed tomography of lower limb for radiotherapy planning ,
CAT,1,Computed tomography of lower limb with contrast ,
CAT,1,Computed tomography of middle ear ,
CAT,1,Computed tomography of nasopharynx ,
CAT,1,Computed tomography of nasopharynx with contrast ,
CAT,0,Computed tomography of neck for radiotherapy planning ,
CAT,1,"Computed tomography of neck, thorax, abdomen and pelvis with oral and intravenous contrast ",
CAT,1,Computed tomography of peritoneal cavity with contrast ,
CAT,0,Computed tomography of prostate for radiotherapy planning ,
CAT,1,Computed tomography of right hip with contrast ,
CAT,1,Computed tomography of right shoulder with contrast ,
CAT,1,Computed tomography of sacroiliac joints ,
CAT,1,Computed tomography of salivary glands ,
CAT,1,Computed tomography of shoulder with contrast ,
CAT,0,Computed tomography of spine for radiotherapy planning ,
CAT,1,Computed tomography of submandibular area ,
CAT,1,Computed tomography of temporal bone with contrast ,
CAT,1,Computed tomography of thigh with contrast ,
CAT,1,Computed tomography of thoracic and lumbar spine ,
CAT,0,Computed tomography of thoracic spine for radiotherapy planning ,
CAT,1,Computed tomography of upper arm with contrast ,
CAT,1,Computed tomography of whole body with contrast ,
CAT,1,Computed tomography perfusion study of liver ,
CAT,1,Computed tomography perfusion study of thorax ,
CAT,1,Computed tomography scan - whole body ,
CAT,1,Computed tomography shoulder region structure ,
CAT,1,Computed tomography sialogram ,
CAT,0,Computed tomography stereotactic localization ,
CAT,1,Computed tomography triple phase study of abdomen and pelvis with contrast ,
CAT,1,Computed tomography triple phase study of pancreas ,
CAT,1,Computerised tomography of midfoot ,
CAT,1,Computerized axial tomography of lumbar spine with contrast ,
CAT,1,Computerized axial tomography of thoracic spine with contrast ,
CAT,0,Drainage of thorax using computed tomography guidance ,
CAT,0,Embolization using computed tomography guidance ,
CAT,0,Forensic computed tomography ,
CAT,1,Four dimensional computed tomography angiography of cerebrum ,
CAT,1,Gated computed tomography for complex congenital heart disease with contrast ,
CAT,0,Injection of sacroiliac joint using computed tomography guidance ,
CAT,1,Low dose computed tomography colonography ,
CAT,1,Low dose computed tomography of entire skeleton ,
CAT,1,Low dose computed tomography of thorax ,
CAT,0,Lumbar epidural injection using computed tomography guidance ,
CAT,0,Nephrostomy using computed tomography guidance ,
CAT,0,Percutaneous aspiration of thorax using computed tomography guidance ,
CAT,0,Percutaneous cryoablation of neoplasm of right kidney using computed tomography guidance ,
CAT,0,Post mortem computed tomography ,
CAT,0,Radiofrequency ablation of lesion of liver using computed tomography guidance ,
CAT,0,Radionuclide imaging with computed tomography attenuation correction and diagnostic study ,
CAT,0,Radionuclide imaging with computed tomography attenuation correction and localization ,
CAT,1,Respiratory and electrocardiography gated cardiac computed tomography of heart ,
CAT,1,Retrospectively electrocardiogram gated computed tomography angiography of coronary artery ,
CAT,1,Virtual computed tomography colonoscopy with radiopaque contrast ,
Diagnostic ultrasonography,1,Echography of kidney ,306005
Diagnostic ultrasonography,1,Diagnostic Doppler ultrasonography ,8306009
Diagnostic ultrasonography,1,Diagnostic ultrasonography ,16310003
Diagnostic ultrasonography,1,Ultrasound study of eye ,19731001
Diagnostic ultrasonography,0,Fetal biophysical profile ,21623001
Diagnostic ultrasonography,0,"Echography of prostate, transrectal approach ",22034001
Diagnostic ultrasonography,1,Echography of scrotum and contents ,24737001
Diagnostic ultrasonography,1,Pelvic echography ,24848001
Diagnostic ultrasonography,1,Ultrasonography of abdomen ,45036003
Diagnostic ultrasonography,1,Ultrasonography of breast ,47079000
Diagnostic ultrasonography,0,Ultrasonic guidance for amniocentesis ,65388005
Diagnostic ultrasonography,1,Ultrasound for foreign body localization ,69610007
Diagnostic ultrasonography,0,Transesophageal echocardiography ,105376000
Diagnostic ultrasonography,1,Ultrasonography of liver ,105377009
Diagnostic ultrasonography,0,Placental localization ,164817009
Diagnostic ultrasonography,0,Dating/booking ultrasound scan ,169229007
Diagnostic ultrasonography,1,Ultrasound skull scan ,169238009
Diagnostic ultrasonography,1,Ultrasound scan of gallbladder ,169250003
Diagnostic ultrasonography,1,Ultrasound scan of bladder ,169251004
Diagnostic ultrasonography,1,Ultrasound scan of neck ,241453007
Diagnostic ultrasonography,1,Ultrasound scan of parathyroid ,241454001
Diagnostic ultrasonography,1,Ultrasound scan of thyroid ,241455000
Diagnostic ultrasonography,1,Ultrasound scan of salivary glands ,241456004
Diagnostic ultrasonography,1,Ultrasound scan of parotid gland ,241457008
Diagnostic ultrasonography,1,Ultrasound scan of submandibular gland ,241458003
Diagnostic ultrasonography,1,Ultrasound scan of abdominal aorta ,241462009
Diagnostic ultrasonography,1,Ultrasound scan of spleen ,241476005
Diagnostic ultrasonography,1,Ultrasound scan of adrenals ,241480000
Diagnostic ultrasonography,1,Ultrasound scan of transplant kidney ,241484009
Diagnostic ultrasonography,1,Ultrasound scan of penis ,241485005
Diagnostic ultrasonography,1,Ultrasound scan of prostate ,241487002
Diagnostic ultrasonography,0,Ultrasound scan for fetal growth ,241493005
Diagnostic ultrasonography,0,Ultrasound scan for amniotic fluid volume ,241494004
Diagnostic ultrasonography,1,Ultrasound scan of shoulder joint ,241497006
Diagnostic ultrasonography,1,Ultrasound scan of elbow ,241498001
Diagnostic ultrasonography,1,Ultrasonography of wrist ,241499009
Diagnostic ultrasonography,1,Ultrasonography of finger ,241500000
Diagnostic ultrasonography,1,Ultrasound scan of hip ,241502008
Diagnostic ultrasonography,1,Ultrasonography of knee ,241504009
Diagnostic ultrasonography,1,Ultrasonography of ankle ,241505005
Diagnostic ultrasonography,1,Ultrasound scan of joints of foot ,241506006
Diagnostic ultrasonography,1,Ultrasonography of Achilles tendon ,241512001
Diagnostic ultrasonography,1,Ultrasound scan of spine ,241516003
Diagnostic ultrasonography,0,Ultrasound scan - obstetric ,268445003
Diagnostic ultrasonography,0,Fetal anatomy study ,271442007
Diagnostic ultrasonography,0,Ultrasound guided biopsy ,277667006
Diagnostic ultrasonography,1,Ultrasound of urinary tract ,303917008
Diagnostic ultrasonography,1,Ultrasound scan of hand ,303924009
Diagnostic ultrasonography,1,Carotid artery doppler assessment ,394719009
Diagnostic ultrasonography,1,Ankle brachial pressure index ,401221002
Diagnostic ultrasonography,0,Nuchal ultrasound scan ,414880004
Diagnostic ultrasonography,1,Ultrasound doppler scan of iliac and femoral arteries ,417912007
Diagnostic ultrasonography,0,Ultrasound scan and drainage of pelvis ,418030000
Diagnostic ultrasonography,0,Ultrasound obstetric doppler ,418090003
Diagnostic ultrasonography,1,Ultrasonography of inguinal region ,418105000
Diagnostic ultrasonography,1,Doppler ultrasonography of kidney ,418354002
Diagnostic ultrasonography,1,Ultrasound scan of abdomen and pelvis ,418394000
Diagnostic ultrasonography,1,Ultrasound scan of upper abdomen ,418398002
Diagnostic ultrasonography,1,Ultrasound doppler scan of penis ,418762008
Diagnostic ultrasonography,1,Ultrasound doppler scan of femoropopliteal artery ,418793009
Diagnostic ultrasonography,1,Ultrasound scan of diaphragm ,418889006
Diagnostic ultrasonography,1,Ultrasound doppler scan of vertebral arteries ,418956005
Diagnostic ultrasonography,0,Ultrasound scan and biopsy of pelvis ,420041003
Diagnostic ultrasonography,1,Ultrasound scan of lower abdomen ,420052009
Diagnostic ultrasonography,1,Ultrasound scan of thigh ,425410009
Diagnostic ultrasonography,1,Ultrasound scan of buttock ,425848005
Diagnostic ultrasonography,1,Ultrasonography of forearm ,426019005
Diagnostic ultrasonography,1,Ultrasound scan of left hip ,426100003
Diagnostic ultrasonography,0,Obstetric uterine artery Doppler ,426295007
Diagnostic ultrasonography,1,Ultrasound scan of calcaneum ,426494009
Diagnostic ultrasonography,0,Endoscopic ultrasound examination of pancreas ,426808008
Diagnostic ultrasonography,1,Ultrasound scan of chest wall ,426827002
Diagnostic ultrasonography,1,Ultrasound scan of both hips ,426903000
Diagnostic ultrasonography,1,Ultrasound scan of upper arm ,427043003
Diagnostic ultrasonography,1,Ultrasound scan of lower leg ,427253008
Diagnostic ultrasonography,1,Ultrasound scan of right hip ,427472005
Diagnostic ultrasonography,0,Obstetric umbilical artery Doppler ,427623005
Diagnostic ultrasonography,1,Ultrasound scan of sacral spine ,428605000
Diagnostic ultrasonography,1,Transvaginal doppler ultrasonography of pelvis ,429807002
Diagnostic ultrasonography,0,Endorectal ultrasonography ,429820004
Diagnostic ultrasonography,1,Transvaginal ultrasonography of pelvis ,429915000
Diagnostic ultrasonography,0,Transvaginal nuchal ultrasonography ,430063002
Diagnostic ultrasonography,0,Transvaginal obstetric ultrasonography ,430064008
Diagnostic ultrasonography,0,Ablation using ultrasound guidance ,430270007
Diagnostic ultrasonography,1,Ultrasonography of artery ,431201002
Diagnostic ultrasonography,0,Injection of tendon using ultrasound guidance ,431203004
Diagnostic ultrasonography,1,Ultrasound doppler flow mapping of artery of lower limb ,431217008
Diagnostic ultrasonography,1,Ultrasound doppler flow mapping of vein of lower limb ,431218003
Diagnostic ultrasonography,0,Injection of trochanteric bursa using ultrasound guidance ,431227002
Diagnostic ultrasonography,0,Injection of bursa using ultrasound guidance ,431248000
Diagnostic ultrasonography,1,Doppler ultrasonography of artery of lower limb ,431323001
Diagnostic ultrasonography,1,Doppler ultrasonography of artery of upper limb ,431324007
Diagnostic ultrasonography,0,Injection of tendon sheath using ultrasound guidance ,431344001
Diagnostic ultrasonography,0,Hydrodistension of glenohumeral joint using ultrasound guidance ,431345000
Diagnostic ultrasonography,1,Marking of skin using ultrasound guidance ,431349006
Diagnostic ultrasonography,1,Doppler ultrasonography of liver and portal system ,431362005
Diagnostic ultrasonography,1,Doppler ultrasonography of superior mesenteric artery ,431363000
Diagnostic ultrasonography,0,Fine needle aspiration biopsy of axilla using ultrasound guidance ,431364006
Diagnostic ultrasonography,1,Ultrasound doppler flow mapping of vein of upper limb ,431394000
Diagnostic ultrasonography,1,Ultrasound doppler flow mapping of artery of upper limb ,431512001
Diagnostic ultrasonography,0,Biopsy of soft tissue using ultrasound guidance ,431513006
Diagnostic ultrasonography,0,Endoanal ultrasound examination of rectal sphincter ,431553009
Diagnostic ultrasonography,0,Transrectal biopsy of prostate using ultrasound guidance ,431605004
Diagnostic ultrasonography,0,Insertion of drain into thorax using ultrasound guidance ,431618007
Diagnostic ultrasonography,1,Ultrasonography of calf ,431622002
Diagnostic ultrasonography,1,Ultrasonography of cervical spine ,431623007
Diagnostic ultrasonography,1,Transcranial doppler ultrasonography ,431648005
Diagnostic ultrasonography,1,Doppler ultrasonography of aorta and iliac artery ,431653000
Diagnostic ultrasonography,0,Injection of marker into breast using ultrasound guidance ,431717009
Diagnostic ultrasonography,0,Fine needle aspiration and core needle biopsy of axilla using ultrasound guidance ,431732002
Diagnostic ultrasonography,0,Biopsy of tibia and fibula using ultrasound guidance ,431744004
Diagnostic ultrasonography,1,Doppler ultrasonography flow mapping of vein ,431750009
Diagnostic ultrasonography,1,Ultrasonography of cranial cavity ,431756003
Diagnostic ultrasonography,1,Ultrasonography of pleural cavity ,431757007
Diagnostic ultrasonography,1,Ultrasonography of supraclavicular fossa ,431767002
Diagnostic ultrasonography,0,Insertion of central venous catheter using doppler ultrasound guidance ,431779002
