Mode,"Community Hub appropriate (1=yes, 0=no)",SNOMED description,SNOMED code
Diagnostic ultrasonography,1,Ultrasound compression venography of lower limb ,431785009
Diagnostic ultrasonography,0,Embolization using ultrasound guidance ,431805002
Diagnostic ultrasonography,0,Biopsy of femur using ultrasound guidance ,431810003
Diagnostic ultrasonography,0,Measurement of cervical length using obstetric ultrasonography ,431816009
Diagnostic ultrasonography,1,Doppler ultrasonography of vein of upper limb ,431818005
Diagnostic ultrasonography,0,Endoscopic ultrasonography of stomach ,431841002
Diagnostic ultrasonography,1,Ultrasonography of subtalar joint ,431843004
Diagnostic ultrasonography,1,Ultrasonography of acromioclavicular joint ,431844005
Diagnostic ultrasonography,0,Barbotage of joint using ultrasound guidance ,431848008
Diagnostic ultrasonography,1,Ultrasonography of graft ,431895007
Diagnostic ultrasonography,0,Measurement of cervical length using transvaginal obstetric ultrasonography ,431941001
Diagnostic ultrasonography,0,Injection of hip using ultrasound guidance ,431979006
Diagnostic ultrasonography,0,Injection of knee using ultrasound guidance ,431980009
Diagnostic ultrasonography,0,Aspiration of shoulder using ultrasound guidance ,431983006
Diagnostic ultrasonography,1,Doppler ultrasonography of transplanted kidney ,431988002
Diagnostic ultrasonography,0,Injection of intermetatarsal bursa using ultrasound guidance ,431998008
Diagnostic ultrasonography,1,Ultrasonography of thumb ,432002003
Diagnostic ultrasonography,1,Ultrasonography of rib ,432003008
Diagnostic ultrasonography,1,Ultrasonography of scalp ,432004002
Diagnostic ultrasonography,1,Marking of skin over long saphenous vein using ultrasound guidance ,432089005
Diagnostic ultrasonography,0,Injection of foot using ultrasound guidance ,432106002
Diagnostic ultrasonography,0,Aspiration of hand using ultrasound guidance ,432107006
Diagnostic ultrasonography,0,Injection of hand using ultrasound guidance ,432147004
Diagnostic ultrasonography,0,Aspiration of foot using ultrasound guidance ,432148009
Diagnostic ultrasonography,0,Vacuum assisted biopsy of breast using ultrasound guidance ,432157003
Diagnostic ultrasonography,1,Ultrasonography of popliteal fossa ,432216002
Diagnostic ultrasonography,0,Biopsy of neck using ultrasound guidance ,432217006
Diagnostic ultrasonography,0,Injection of wrist using ultrasound guidance ,432234003
Diagnostic ultrasonography,0,Injection using ultrasound guidance ,432235002
Diagnostic ultrasonography,0,Aspiration of knee using ultrasound guidance ,432236001
Diagnostic ultrasonography,0,Aspiration of hip using ultrasound guidance ,432237005
Diagnostic ultrasonography,0,Aspiration of neck using ultrasound guidance ,432238000
Diagnostic ultrasonography,0,Endoscopic ultrasonography of esophagus ,432239008
Diagnostic ultrasonography,1,Ultrasonography of plantar fascia ,432245000
Diagnostic ultrasonography,0,Transvaginal obstetric doppler ultrasonography ,432246004
Diagnostic ultrasonography,0,Insertion of drain using ultrasound guidance ,432273003
Diagnostic ultrasonography,0,Aspiration of elbow using ultrasound guidance ,432311005
Diagnostic ultrasonography,0,Core needle biopsy of axilla using ultrasound guidance ,432313008
Diagnostic ultrasonography,1,Doppler ultrasonography of vein of lower limb ,432336004
Diagnostic ultrasonography,0,Fine needle aspiration biopsy of breast using ultrasound guidance ,432337008
Diagnostic ultrasonography,1,Ultrasonography of coccyx ,432372006
Diagnostic ultrasonography,1,Ultrasonography of temporomandibular joint ,432404005
Diagnostic ultrasonography,1,Ultrasonography of sternum ,432405006
Diagnostic ultrasonography,0,Insertion of dialysis catheter using doppler ultrasound guidance ,432509002
Diagnostic ultrasonography,0,Aspiration of thorax using ultrasound guidance ,432539007
Diagnostic ultrasonography,0,Core needle biopsy of breast using ultrasound guidance ,432550005
Diagnostic ultrasonography,0,Aspiration of abdomen using ultrasound guidance ,432556004
Diagnostic ultrasonography,0,Aspiration using ultrasound guidance ,432557008
Diagnostic ultrasonography,0,Insertion of suprapubic catheter using ultrasound guidance ,432587002
Diagnostic ultrasonography,0,Aspiration of wrist using ultrasound guidance ,432629009
Diagnostic ultrasonography,1,Ultrasonography of axilla ,432635009
Diagnostic ultrasonography,0,Barbotage of tendon using ultrasound guidance ,432638006
Diagnostic ultrasonography,1,Ultrasonography of lumbar spine ,432651001
Diagnostic ultrasonography,0,Biopsy of lung using ultrasound guidance ,432652008
Diagnostic ultrasonography,1,Ultrasonography of toe ,432663006
Diagnostic ultrasonography,1,Ultrasonography of biceps tendon ,432667007
Diagnostic ultrasonography,1,Ultrasonography of hand and wrist ,432668002
Diagnostic ultrasonography,1,Ultrasonography of sacroiliac joint ,432674002
Diagnostic ultrasonography,1,Compression ultrasonography of vein of upper limb ,432692005
Diagnostic ultrasonography,0,Injection of shoulder using ultrasound guidance ,432816007
Diagnostic ultrasonography,1,Ultrasonography of forefoot ,432849003
Diagnostic ultrasonography,1,Ultrasonography of anterior abdominal wall ,432853001
Diagnostic ultrasonography,1,Ultrasonography of symphysis pubis ,432855008
Diagnostic ultrasonography,1,Ultrasonography of sternoclavicular joint ,432856009
Diagnostic ultrasonography,0,Injection of ankle using ultrasound guidance ,432872001
Diagnostic ultrasonography,0,Injection of elbow using ultrasound guidance ,432873006
Diagnostic ultrasonography,0,Insertion of drain into neck using ultrasound guidance ,432875004
Diagnostic ultrasonography,1,Ultrasonography of thoracic spine ,432898007
Diagnostic ultrasonography,0,Insertion of drain into abdomen using ultrasound guidance ,433043005
Diagnostic ultrasonography,0,Radiofrequency ablation using ultrasound guidance ,433058002
Diagnostic ultrasonography,1,Marking of skin of breast using ultrasound guidance ,433069004
Diagnostic ultrasonography,0,Biopsy of knee using ultrasound guidance ,433135003
Diagnostic ultrasonography,0,Biopsy of hand using ultrasound guidance ,433136002
Diagnostic ultrasonography,0,Biopsy of radius and ulna using ultrasound guidance ,433167000
Diagnostic ultrasonography,1,Ultrasonography of clavicular region ,433169002
Diagnostic ultrasonography,1,Ultrasonography of thyroid and parathyroid ,433175006
Diagnostic ultrasonography,0,Aspiration of ovarian cyst using ultrasound guidance ,433176007
Diagnostic ultrasonography,1,Ultrasonography of scapula ,433177003
Diagnostic ultrasonography,0,Insertion of guide wire into breast using ultrasound guidance ,433222002
Diagnostic ultrasonography,1,Doppler ultrasonography of aorta ,433223007
Diagnostic ultrasonography,0,Exercise stress echocardiography ,433233004
Diagnostic ultrasonography,0,Fetal echocardiography ,433235006
Diagnostic ultrasonography,1,Transthoracic echocardiography ,433236007
Diagnostic ultrasonography,0,Injection of subacromial bursa using ultrasound guidance ,433774003
Diagnostic ultrasonography,0,Injection of subdeltoid bursa using ultrasound guidance ,433843006
Diagnostic ultrasonography,0,Exercise stress ultrasonography of heart with contrast ,433862009
Diagnostic ultrasonography,1,Transthoracic ultrasonography of heart with contrast ,434167009
Diagnostic ultrasonography,0,Biopsy of liver using ultrasound guidance ,438300009
Diagnostic ultrasonography,0,Biopsy of salivary gland using ultrasound guidance ,438301008
Diagnostic ultrasonography,0,Aspiration of breast using ultrasound guidance ,438344007
Diagnostic ultrasonography,0,Aspiration of pelvis using ultrasound guidance ,438521008
Diagnostic ultrasonography,1,Ultrasonography of soft tissue ,438527007
Diagnostic ultrasonography,0,Biopsy of kidney using ultrasound guidance ,438813007
Diagnostic ultrasonography,0,Aspiration of thyroid using ultrasound guidance ,438819006
Diagnostic ultrasonography,0,Biopsy of thyroid using ultrasound guidance ,440492007
Diagnostic ultrasonography,1,Doppler ultrasonography of testis ,440495009
Diagnostic ultrasonography,1,Ultrasound elastography of liver ,441491005
Diagnostic ultrasonography,0,Puncture of peripheral vein using ultrasound guidance ,443272003
Diagnostic ultrasonography,1,Ultrasonography of liver with contrast ,443630007
Diagnostic ultrasonography,1,Ultrasonography with contrast ,443631006
Diagnostic ultrasonography,0,Core needle biopsy using ultrasound guidance ,444704008
Diagnostic ultrasonography,1,Ultrasonography of abdomen with contrast ,444900008
Diagnostic ultrasonography,0,Fine needle aspiration using ultrasound guidance ,444945007
Diagnostic ultrasonography,1,Doppler ultrasonography of temporal artery ,445751002
Diagnostic ultrasonography,0,Ultrasonography of multiple pregnancy for fetal anomaly ,445866007
Diagnostic ultrasonography,1,Ultrasonography of arteriovenous fistula ,445867003
Diagnostic ultrasonography,0,Ultrasonography in second trimester ,446208007
Diagnostic ultrasonography,0,Ultrasonography in third trimester ,446353007
Diagnostic ultrasonography,0,Ultrasonography in first trimester ,446522006
Diagnostic ultrasonography,0,Biopsy of abdomen using ultrasound guidance ,446595004
Diagnostic ultrasonography,0,Ultrasonography of multiple pregnancy for fetal nuchal translucency ,446810002
Diagnostic ultrasonography,0,Biopsy of chest using ultrasound guidance ,446843003
Diagnostic ultrasonography,1,Doppler ultrasonography of jugular vein ,446849004
Diagnostic ultrasonography,0,Fine needle aspiration biopsy of neck using ultrasound guidance ,447853006
Diagnostic ultrasonography,0,Fine needle aspiration biopsy of inguinal region using ultrasound guidance ,449202009
Diagnostic ultrasonography,1,Ultrasonography of upper limb ,449921006
Diagnostic ultrasonography,0,Drainage procedure using ultrasound guidance ,702768002
Diagnostic ultrasonography,0,Vacuum assisted excision of lesion of breast using ultrasonographic guidance ,725505001
Diagnostic ultrasonography,1,Ultrasonography of left axilla ,911000087107
Diagnostic ultrasonography,1,Ultrasonography of right axilla ,921000087104
Diagnostic ultrasonography,0,Aspiration of left breast using ultrasonographic guidance ,931000087102
Diagnostic ultrasonography,0,Aspiration of right breast using ultrasonographic guidance ,941000087108
Diagnostic ultrasonography,1,Ultrasonography of left elbow ,1011000087109
Diagnostic ultrasonography,1,Ultrasonography of right elbow ,1021000087101
Diagnostic ultrasonography,1,Ultrasonography of left foot ,1031000087104
Diagnostic ultrasonography,1,Ultrasonography of right foot ,1041000087105
Diagnostic ultrasonography,0,Biopsy of left kidney using ultrasonographic guidance ,1141000087106
Diagnostic ultrasonography,0,Biopsy of right kidney using ultrasonographic guidance ,1151000087109
Diagnostic ultrasonography,1,Ultrasonography of left thigh ,1241000087104
Diagnostic ultrasonography,1,Ultrasonography of right thigh ,1251000087101
Diagnostic ultrasonography,1,Ultrasonography of left thumb ,1261000087103
Diagnostic ultrasonography,1,Ultrasonography of right thumb ,1271000087107
Diagnostic ultrasonography,1,Ultrasonography of bilateral axillae ,1551000087103
Diagnostic ultrasonography,0,Drainage of left breast using ultrasonographic guidance ,12601000087109
Diagnostic ultrasonography,0,Biopsy of right buttock using ultrasonographic guidance ,13151000087108
Diagnostic ultrasonography,0,Ultrasound monitoring of early pregnancy ,228881000000102
Diagnostic ultrasonography,0,Aspiration of ganglion cyst using ultrasonographic guidance ,328201000000100
Diagnostic ultrasonography,1,Ultrasonography of craniofacial soft tissue ,352871000000108
Diagnostic ultrasonography,1,Ultrasonography of abdomen and renal tract ,353031000000108
Diagnostic ultrasonography,0,Biopsy of soft tissue of thigh using ultrasonographic guidance ,811131000000103
Diagnostic ultrasonography,1,Transvaginal and transabdominal ultrasonography of pelvis ,826601000000101
Diagnostic ultrasonography,0,Fine needle aspiration biopsy of chest wall using ultrasonography guidance ,843611000000109
Diagnostic ultrasonography,0,Core needle biopsy of chest wall using ultrasonography guidance ,843631000000101
Diagnostic ultrasonography,0,Suprascapular nerve block using ultrasonography guidance ,844541000000109
Diagnostic ultrasonography,0,Ultrasonography of multiple pregnancy ,855021000000107
Diagnostic ultrasonography,0,Doppler ultrasonography of multiple pregnancy ,855031000000109
Diagnostic ultrasonography,1,Ultrasonography of small intestine ,859251000000105
Diagnostic ultrasonography,1,Ultrasonography of urethra ,865041000000107
Diagnostic ultrasonography,0,Ultrasonography to determine estimated date of confinement ,866481000000104
Diagnostic ultrasonography,0,Percutaneous injection of sclerosing agent into long saphenous vein using ultrasonography guidance ,914001000000103
Diagnostic ultrasonography,1,Ultrasonography of right popliteal fossa ,16436111000119100
Diagnostic ultrasonography,1,Ultrasonography of left popliteal fossa ,16436161000119100
Diagnostic ultrasonography,0,Aspiration of kidney using ultrasound guidance ,
Diagnostic ultrasonography,0,Biopsy of bone using ultrasound guidance ,
Diagnostic ultrasonography,0,Biopsy of elbow using ultrasound guidance ,
Diagnostic ultrasonography,0,Biopsy of foot using ultrasound guidance ,
Diagnostic ultrasonography,0,Biopsy of hip using ultrasound guidance ,
Diagnostic ultrasonography,0,Biopsy of left buttock using ultrasonographic guidance ,
Diagnostic ultrasonography,0,Biopsy of shoulder using ultrasound guidance ,
Diagnostic ultrasonography,0,Biopsy of transplanted kidney using ultrasound guidance ,
Diagnostic ultrasonography,0,Chorionic villus sampling using obstetric ultrasound guidance ,
Diagnostic ultrasonography,0,Cryoablation of lesion using ultrasonography guidance ,
Diagnostic ultrasonography,1,Doppler ultrasonography of iliac vein ,
Diagnostic ultrasonography,1,Doppler ultrasonography of renal artery ,
Diagnostic ultrasonography,1,Doppler ultrasound scan of middle cerebral artery of fetus ,
Diagnostic ultrasonography,0,Drainage of amniotic fluid using ultrasound guidance ,
Diagnostic ultrasonography,0,Drainage of cyst of kidney using ultrasound guidance ,
Diagnostic ultrasonography,0,Drainage of right breast using ultrasonographic guidance ,
Diagnostic ultrasonography,0,Dry needling of tendon using ultrasound guidance ,
Diagnostic ultrasonography,0,Endoanal ultrasound examination ,
Diagnostic ultrasonography,0,Endoscopic core needle biopsy of pancreas using ultrasonography guidance ,
Diagnostic ultrasonography,0,Endoscopic core needle biopsy of stomach using ultrasonography guidance ,
Diagnostic ultrasonography,0,Endoscopic core needle biopsy using ultrasonography guidance ,
Diagnostic ultrasonography,0,Endoscopic drainage using ultrasonography guidance ,
Diagnostic ultrasonography,0,Endoscopic examination of pancreatic duct using ultrasonography guidance ,
Diagnostic ultrasonography,0,Endoscopic fine needle aspiration biopsy of duodenum using ultrasonography guidance ,
Diagnostic ultrasonography,0,Endoscopic fine needle aspiration biopsy of mediastinal lymph node using ultrasonography guidance ,
Diagnostic ultrasonography,0,Endoscopic fine needle aspiration biopsy of oesophagus using ultrasonography guidance ,
Diagnostic ultrasonography,0,Endoscopic fine needle aspiration biopsy of pancreas using ultrasonography guidance ,
Diagnostic ultrasonography,0,Endoscopic fine needle aspiration biopsy of stomach using ultrasonography guidance ,
Diagnostic ultrasonography,0,Endoscopic fine needle aspiration biopsy using ultrasonography guidance ,
Diagnostic ultrasonography,0,Endoscopic ultrasonography ,
Diagnostic ultrasonography,0,Endoscopic ultrasonography of bronchus ,
Diagnostic ultrasonography,0,Endoscopic ultrasound examination of bile duct ,
Diagnostic ultrasonography,0,Fine needle aspiration and core needle biopsy of breast using ultrasound guidance ,
Diagnostic ultrasonography,0,Injection of Botulinum toxin using ultrasonography guidance ,
Diagnostic ultrasonography,0,Injection of intraarticular ligament using ultrasound guidance ,
Diagnostic ultrasonography,0,Injection of steroid using ultrasonographic guidance ,
Diagnostic ultrasonography,0,Injection of thrombin using ultrasound guidance ,
Diagnostic ultrasonography,0,Insertion of fiducial marker into prostate using ultrasonography guidance ,
Diagnostic ultrasonography,0,Insertion of magnetic marker into left breast using ultrasonographic guidance ,
Diagnostic ultrasonography,0,Insertion of magnetic marker into right breast using ultrasonographic guidance ,
Diagnostic ultrasonography,0,Insertion of tunnelled drain into abdomen using ultrasonographic guidance ,
Diagnostic ultrasonography,0,Intracardiac echocardiography with contrast ,
Diagnostic ultrasonography,0,Intravascular ultrasonography of coronary artery using fluoroscopic guidance ,
Diagnostic ultrasonography,0,Intravascular ultrasound scan ,
Diagnostic ultrasonography,0,Removal of tunnelled drain from abdomen using ultrasonographic guidance ,
Diagnostic ultrasonography,0,Sampling of fetal blood using ultrasound guidance ,
Diagnostic ultrasonography,1,Three dimensional ultrasonography ,
Diagnostic ultrasonography,0,Transoesophageal echocardiography for complex congenital heart disease ,
Diagnostic ultrasonography,1,Transthoracic echocardiography for complex congenital heart disease ,
Diagnostic ultrasonography,0,Transvaginal ultrasonography to determine the estimated date of confinement ,
Diagnostic ultrasonography,1,Ultrasonography of bilateral elbows ,
Diagnostic ultrasonography,1,Ultrasonography of bilateral feet ,
Diagnostic ultrasonography,1,Ultrasonography of bilateral thighs ,
Diagnostic ultrasonography,1,Ultrasonography of bilateral thumbs ,
Diagnostic ultrasonography,0,Ultrasonography of fetal ductus venosus ,
Diagnostic ultrasonography,1,Ultrasonography of midfoot ,
Diagnostic ultrasonography,0,Ultrasonography of pathological specimen ,
Diagnostic ultrasonography,1,Ultrasonography of seminal vesicles ,
Diagnostic ultrasonography,1,Ultrasonography of stent graft of aorta ,
Diagnostic ultrasonography,1,Ultrasonography of urinary bladder for flow rate ,
Diagnostic ultrasonography,1,Ultrasonography of vocal cord ,
Diagnostic ultrasonography,1,Ultrasonography surveillance of liver for hepatocellular carcinoma ,
Diagnostic ultrasonography,1,Ultrasound elastography ,
Diagnostic ultrasonography,0,Ultrasound scan and drainage of thyroid ,
Diagnostic ultrasonography,1,Ultrasound scan of pancreas ,
Diagnostic ultrasonography,1,Ultrasound scan of pylorus ,
Diagnostic ultrasonography,1,Ultrasound scan of transplant liver ,
Endoscopy,0,Endoscopic biopsy of stomach ,10077008
Endoscopy,0,Flexible fiberoptic sigmoidoscopy ,44441009
Endoscopy,0,Colonoscopy ,73761001
Endoscopy,0,Diagnostic fiberoptic endoscopic examination of upper gastrointestinal tract ,265371001
Endoscopy,0,Therapeutic colonoscopy ,303587008
Endoscopy,0,Endoscopic retrograde cholangiopancreatography ,386718000
Endoscopy,0,Endoscopy of stomach ,386831001
Endoscopy,0,Ureteroscopy ,387717002
Endoscopy,0,Flexible fiberoptic sigmoidoscopy with biopsy ,396226005
Endoscopy,0,Endoscopic excision of polyp of large intestine using sigmoidoscope ,442830000
Endoscopy,0,Colonoscopy and biopsy of colon ,446745002
Endoscopy,0,Endoscopic retrograde cholangiopancreatography with removal of biliary stent using fluoroscopic guidance ,850221000000108
Endoscopy,0,Brain endoscopy ,
Endoscopy,0,Bronchoscopy ,
Endoscopy,0,Capsule endoscopy ,
Endoscopy,0,Diagnostic fiberoptic endoscopic examination of larynx ,
Endoscopy,0,Diagnostic nasendoscopy ,
Endoscopy,0,Endoscopic banding of oesophageal varices using fluoroscopic guidance ,
Endoscopy,0,Endoscopic retrograde cholangiopancreatography with balloon dilatation of sphincter of pancreatic duct using fluoroscopic guidance ,
Endoscopy,0,Endoscopic retrograde cholangiopancreatography with replacement of biliary stent using fluoroscopic guidance ,
Endoscopy,0,Endoscopy of ear ,
Endoscopy,0,Endoscopy of large intestine ,
Endoscopy,0,Endoscopy of pharynx ,
Endoscopy,0,Endoscopy of respiratory system ,
Endoscopy,0,Endoscopy of salivary gland ,
Endoscopy,0,Endoscopy of urethra ,
Endoscopy,0,Endoscopy of urinary bladder ,
Endoscopy,0,Fiberoptic colonoscopy with biopsy ,
Endoscopy,0,Laparoscopy ,
Endoscopy,0,Nasal sinus endoscopy ,
Endoscopy,0,Proctoscopy ,
Endoscopy,0,Sphincterotomy of sphincter of Oddi by endoscopic retrograde cholangiopancreatography ,
Endoscopy,0,Thoracoscopy ,
MRI,1,Magnetic resonance imaging of urinary bladder ,1292009
MRI,1,Magnetic resonance imaging of pelvis ,2690005
MRI,1,Magnetic resonance imaging of chest ,6007000
MRI,1,Magnetic resonance imaging of orbit ,30957007
MRI,1,Magnetic resonance imaging of face ,35249003
MRI,1,Magnetic resonance imaging of temporomandibular joint ,57902003
MRI,1,Magnetic resonance imaging of cervical spine with contrast ,60443006
MRI,1,Magnetic resonance imaging of neck ,72221006
MRI,1,Magnetic resonance imaging of prostate ,75691003
MRI,1,Magnetic resonance imaging of thoracic spine with contrast ,91333005
MRI,1,Magnetic resonance imaging ,113091000
MRI,1,Magnetic resonance imaging of lower extremity ,113109007
MRI,0,Radiotherapy planning using magnetic resonance imaging ,228712001
MRI,1,Magnetic resonance imaging of head ,241601008
MRI,1,Magnetic resonance imaging of brain with functional imaging ,241603006
MRI,1,Magnetic resonance imaging of posterior fossa ,241604000
MRI,1,Magnetic resonance imaging of pituitary fossa ,241605004
MRI,1,Magnetic resonance imaging of internal auditory meatus ,241606003
MRI,1,Magnetic resonance imaging of paranasal sinuses ,241609005
MRI,1,Magnetic resonance imaging of salivary glands ,241611001
MRI,1,Magnetic resonance imaging of breast ,241615005
MRI,1,Magnetic resonance imaging of axilla ,241617002
MRI,1,Magnetic resonance imaging of brachial plexus ,241618007
MRI,1,Magnetic resonance imaging of thoracic inlet ,241619004
MRI,1,Magnetic resonance imaging of heart ,241620005
MRI,1,Magnetic resonance imaging of abdomen ,241621009
MRI,1,Magnetic resonance imaging of liver ,241622002
MRI,1,Magnetic resonance imaging of adrenals ,241623007
MRI,1,Magnetic resonance imaging of kidneys ,241624001
MRI,1,Magnetic resonance imaging of pancreas ,241625000
MRI,1,Magnetic resonance imaging of rectum ,241629006
MRI,1,Magnetic resonance imaging of scrotum ,241630001
MRI,1,Magnetic resonance imaging of shoulder ,241633004
MRI,1,Magnetic resonance imaging of upper arm ,241634005
MRI,1,Magnetic resonance imaging of elbow ,241635006
MRI,1,Magnetic resonance imaging of forearm ,241636007
MRI,1,Magnetic resonance imaging of wrist ,241637003
MRI,1,Magnetic resonance imaging of hand ,241638008
MRI,1,Magnetic resonance imaging of hip ,241639000
MRI,1,Magnetic resonance imaging of knee ,241641004
MRI,1,Magnetic resonance imaging of lower leg ,241642006
MRI,1,Magnetic resonance imaging of ankle ,241643001
MRI,1,Magnetic resonance imaging of foot ,241644007
MRI,1,Magnetic resonance imaging of spine ,241645008
MRI,1,Magnetic resonance imaging of cervical spine ,241646009
MRI,1,Magnetic resonance imaging of thoracic spine ,241647000
MRI,1,Magnetic resonance imaging of lumbar spine ,241648005
MRI,1,Magnetic resonance imaging arthrography of shoulder ,241650002
MRI,1,Magnetic resonance imaging arthrography of wrist ,241652005
MRI,1,Magnetic resonance imaging arthrography of hip ,241653000
MRI,1,Magnetic resonance imaging of neck vessels ,241665001
MRI,1,Magnetic resonance imaging of thoracic aorta ,241666000
MRI,1,Magnetic resonance imaging of abdominal aorta ,241668004
MRI,1,Magnetic resonance spectroscopy ,241671007
MRI,1,Magnetic resonance spectroscopy of head ,241672000
MRI,1,Magnetic resonance phosphorus spectroscopy of head ,241673005
MRI,1,Magnetic resonance imaging of aorta ,306992007
MRI,1,Magnetic resonance cholangiopancreatography ,314635004
MRI,1,Magnetic resonance imaging angiography of head ,417936006
MRI,1,Magnetic resonance imaging of fingers ,418003005
MRI,1,Magnetic resonance imaging angiography of upper limb artery ,418062002
MRI,1,Magnetic resonance imaging angiography of lower limb artery ,418180008
MRI,1,Magnetic resonance imaging venography of intracranial veins ,418463004
MRI,1,Magnetic resonance imaging of cervix ,418592002
MRI,1,Magnetic resonance imaging angiography of pulmonary arteries ,418786005
MRI,1,Magnetic resonance imaging of clavicle ,418917004
MRI,1,Magnetic resonance imaging cerebral perfusion study ,419059006
MRI,1,Magnetic resonance imaging venography ,419194002
MRI,1,Magnetic resonance imaging of urinary tract ,419275004
MRI,1,Magnetic resonance imaging angiography of renal artery ,419311004
MRI,1,Magnetic resonance imaging of cervicothoracic spine ,419356006
MRI,1,Magnetic resonance imaging perfusion study of heart ,419535008
MRI,1,Magnetic resonance imaging angiography of visceral arteries ,419555009
MRI,1,Magnetic resonance imaging angiography of renal and visceral arteries ,419580009
MRI,1,Magnetic resonance imaging of thoracolumbar spine ,419636004
MRI,1,Magnetic resonance imaging venography of cerebral veins ,419701008
MRI,1,Magnetic resonance imaging angiography of subclavian artery ,419713003
MRI,1,Magnetic resonance imaging angiography of coronary arteries ,419997008
MRI,1,Magnetic resonance imaging of sacroiliac joints ,420078000
MRI,1,Magnetic resonance imaging of parotid gland ,420137004
MRI,1,Magnetic resonance imaging of whole body ,426252008
MRI,1,Magnetic resonance imaging of femur ,427366006
MRI,1,Magnetic resonance imaging myelography of cervical spine ,430021001
MRI,1,"Magnetic resonance imaging of calcaneus, talus, navicular and cuboid bones of foot ",430227007
MRI,1,Magnetic resonance cholangiopancreatography with contrast ,430272004
MRI,1,Magnetic resonance imaging for patella tracking ,430473007
MRI,1,Magnetic resonance imaging myelography of lumbar spine ,430507007
MRI,1,Magnetic resonance imaging of cerebrospinal fluid flow ,431225005
MRI,1,Magnetic resonance imaging of breast implant ,431249008
MRI,1,Magnetic resonance imaging of lumbar spine and pelvis ,431250008
MRI,1,Magnetic resonance imaging of perfusion of heart under stress ,431299007
MRI,1,Magnetic resonance imaging of rest perfusion of heart ,431392001
MRI,0,Marking of skin of head using magnetic resonance imaging guidance ,431402006
MRI,1,Magnetic resonance imaging of fetus ,431407000
MRI,1,Magnetic resonance imaging angiography of whole aorta ,431431005
MRI,1,Magnetic resonance imaging angiography of entire blood vessel ,431508007
MRI,1,Magnetic resonance imaging of midfoot ,431608002
MRI,1,Magnetic resonance imaging stress study of cardiac function ,431609005
MRI,1,Magnetic resonance imaging of internal auditory meatus with contrast ,431625000
MRI,1,Magnetic resonance imaging of small intestine ,431627008
MRI,1,Magnetic resonance imaging of liver with contrast ,431839003
MRI,1,Magnetic resonance imaging of salivary gland with contrast ,431840001
MRI,1,Magnetic resonance imaging of brachial plexus with contrast ,431849000
